127.0.0.1 - - [23/Aug/2021:12:59:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Aug/2021:12:59:23 +0900] "GET /myboard/ HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [23/Aug/2021:12:59:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/prolist.do HTTP/1.1" 200 9535
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%EA%BC%AC%EA%B9%94%EC%BD%98 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%EC%A7%84%EB%9D%BC%EB%A9%B4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%EC%97%91%EC%84%A4%EB%9F%B0%ED%8A%B8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%EB%B9%84%EB%B9%84%EA%B3%A0%EB%A7%8C%EB%91%90 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%EC%98%A5%EB%8F%99%EC%9E%90 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%EB%B8%8C%EB%9D%BC%EB%B3%B4%EC%BD%98 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%ED%97%88%EC%89%AC%20%EC%B4%88%EC%BD%9C%EB%A6%BF%EB%A7%9B HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%EA%B5%AC%EA%B5%AC%EC%BD%98 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:36 +0900] "GET /myboard/image/upload/%ED%85%8C%EC%8A%A4%ED%8A%B8/%EB%A9%94%EB%A1%9C%EB%82%98 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:38 +0900] "GET /myboard/login.do HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:45 +0900] "POST /myboard/ajaxlogin.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:45 +0900] "GET /myboard/home.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:45 +0900] "GET /myboard/ HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:48 +0900] "GET /myboard/prolist.do HTTP/1.1" 200 9612
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:50 +0900] "GET /myboard/cartlist.do?username=%ED%85%8C%EC%8A%A4%ED%84%B0 HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [23/Aug/2021:13:26:53 +0900] "GET /myboard/dellist.do HTTP/1.1" 200 2255
